Country,ISO 3166-1 alpha-3,Year,Total,Coal,Oil,Gas,Cement,Flaring,Other,Per Capita
Afghanistan,AFG,2020,12.160286,7.507941,4.277487,0.314185,0.060674,0,,0.312376
Albania,ALB,2020,4.534673,0.461364,3.139714,0.153164,0.780432,0,,1.575745
Algeria,DZA,2020,154.99546,1.098606,49.330383,88.218526,10.749352,5.598592,,3.53459
Andorra,AND,2020,0.466294,0,0.466294,0,0,0,,6.034998
Angola,AGO,2020,22.198161,0,11.080189,1.313899,1.937465,7.866608,,0.675409
Anguilla,AIA,2020,0.123426,0,0.123426,0,0,0,,8.226785
Antarctica,ATA,2020,0,,,,0,,,0
Antigua and Barbuda,ATG,2020,0.43041,0,0.43041,0,0,0,,4.395125
Argentina,ARG,2020,156.978063,2.815605,61.964604,86.702093,3.649106,1.846656,,3.473291
Armenia,ARM,2020,5.890292,0.004359,0.698067,4.872736,0.31513,0,,1.987786
Aruba,ABW,2020,0.753218,0,0.753218,0,0,0,,7.054847
Australia,AUS,2020,391.891928,159.817374,124.605623,80.208272,3.024613,20.34117,3.894876,15.368381
Austria,AUT,2020,60.634876,10.205193,30.341831,17.036859,1.770523,0.118252,1.162217,6.732422
Azerbaijan,AZE,2020,37.720462,0.003664,10.561157,23.405295,1.082954,2.667392,,3.720269
Bahamas,BHS,2020,2.337684,0.008405,2.329279,0,0,0,,5.944614
Bahrain,BHR,2020,34.960075,0,3.606381,30.829802,0.523892,0,,20.545715
Bangladesh,BGD,2020,92.841625,14.75064,17.403942,59.226386,1.460656,0,,0.563738
Barbados,BRB,2020,1.086743,0,0.962093,0.054082,0.070568,0,,3.78162
Belarus,BLR,2020,57.445417,3.378951,16.799598,34.006133,2.26705,0.001512,0.992174,6.079316
Belgium,BEL,2020,83.748962,10.901707,32.579576,35.469635,2.819306,0.116104,1.862634,7.226202
Belize,BLZ,2020,0.582795,0,0.575629,0.007166,0,0,,1.465678
Benin,BEN,2020,6.702765,0,6.450718,0.039623,0.212425,0,,0.552887
Bermuda,BMU,2020,0.624448,0.01681,0.607638,0,0,0,,10.026781
Bhutan,BTN,2020,1.925367,0.965307,0.601344,0,0.358716,0,,2.495265
"Bonaire, Saint Eustatius and Saba",BES,2020,0.300654,0,0.300654,0,0,0,,11.465285
Bosnia and Herzegovina,BIH,2020,21.417961,16.201375,4.372802,0.463227,0.380556,0,,6.528236
Botswana,BWA,2020,6.518934,3.738129,2.774605,0,0.0062,0,,2.772095
Brazil,BRA,2020,467.3835,55.445998,305.511831,60.330589,22.198082,17.505,6.392,2.198837
British Virgin Islands,VGB,2020,0.13925,0,0.13925,0,0,0,,4.606211
Brunei Darussalam,BRN,2020,10.158494,0,1.966661,7.528649,0,0.663184,,23.22053
Bulgaria,BGR,2020,37.44411,16.762141,12.124673,5.405136,1.1271,0.826916,1.198143,5.388847
Burkina Faso,BFA,2020,3.969636,0,3.849513,0,0.120123,0,,0.189905
Burundi,BDI,2020,0.602181,0.016144,0.558912,0,0.027125,0,,0.050643
Cambodia,KHM,2020,15.325618,4.540516,7.469528,0,3.315573,0,,0.916661
Canada,CAN,2020,535.82299,45.117556,246.354656,219.132482,7.176731,15.947371,2.094192,14.196937
Cape Verde,CPV,2020,0.54993,0,0.54993,0,0,0,,0.989107
Central African Republic,CAF,2020,0.187906,0,0.187906,0,0,0,,0.038906
Chad,TCD,2020,0.912301,0,0.776678,0,0.135623,0,,0.05554
Chile,CHL,2020,81.17149,26.08155,43.438319,10.840109,0.7822,0.029312,,4.246214
China,CHN,2020,10667.88745,7421.10077,1611.761686,605.253501,858.232613,0,171.538883,7.411736
Christmas Island,CXR,2020,0,,,,,,,0
Colombia,COL,2020,89.104941,21.681803,36.440784,24.71641,5.305976,0.959968,,1.751177
Comoros,COM,2020,0.258456,0,0.258456,0,0,0,,0.297213
Congo,COG,2020,3.11676,0,1.700549,0.966719,0.449492,0,,0.564826
Cook Islands,COK,2020,0.079423,0,0.079423,0,0,0,,4.52191
Costa Rica,CRI,2020,7.907389,0,7.170791,0,0.736598,0,,1.552259
Côte d'Ivoire,CIV,2020,10.070733,0,5.82319,4.247544,0,0,,0.381781
Croatia,HRV,2020,16.98201,1.390108,8.624301,5.435624,1.184111,0.203658,0.144209,4.13664
Cuba,CUB,2020,20.15228,0.03362,17.289198,2.113352,0.71611,0,,1.779197
Curaçao,CUW,2020,3.335066,0,3.218582,0.116484,0,0,,20.324243
Cyprus,CYP,2020,6.496162,0.056757,5.624793,0.000223,0.789212,0,0.025176,5.380472
Czech Republic,CZE,2020,87.974706,46.843521,20.123272,17.647551,1.977237,0.081309,1.301816,8.21504
North Korea,PRK,2020,29.311104,23.675039,3.00294,0,2.633125,0,,1.137023
Democratic Republic of the Congo,COD,2020,2.477334,0,1.763184,0,0.71415,0,,0.027661
Denmark,DNK,2020,26.194912,3.082566,16.638495,4.821731,1.129199,0.194669,0.328252,4.522444
Djibouti,DJI,2020,0.351464,0,0.277841,0,0.073624,0,,0.355733
Dominica,DMA,2020,0.13925,0,0.13925,0,0,0,,1.934409
Dominican Republic,DOM,2020,27.76931,7.539255,15.703642,2.479445,2.046968,0,,2.559877
Ecuador,ECU,2020,30.931763,0,26.31594,1.083022,2.287041,1.24576,,1.753198
Egypt,EGY,2020,213.456746,0.378985,95.330402,99.612723,18.134636,0,,2.085875
El Salvador,SLV,2020,6.123716,0.004314,5.731719,0,0.387683,0,,0.944114
Equatorial Guinea,GNQ,2020,10.265267,0,0.930135,3.516701,0,5.818432,,7.316733
Eritrea,ERI,2020,0.722332,0,0.613834,0,0.108498,0,,0.203679
Estonia,EST,2020,10.452414,6.126367,3.117693,0.833634,0.295485,0.000031,0.079203,7.879486
Ethiopia,ETH,2020,14.664773,1.452972,9.608116,0,3.603685,0,,0.12756
Faeroe Islands,FRO,2020,0.683898,0,0.683898,0,0,0,,13.996235
Micronesia (Federated States of),FSM,2020,0.1475,0,0.1475,0,0,0,,1.282348
Fiji,FJI,2020,1.393413,0,1.338842,0,0.054571,0,,1.554376
Finland,FIN,2020,39.287631,13.693366,20.211944,4.147664,0.583481,0.065189,0.585986,7.090709
Panama Canal Zone,PCZ,2020,0,,,,,,,0
France,FRA,2020,276.633893,21.254257,161.334743,80.911084,6.585462,2.529493,4.018853,4.238073
French Equatorial Africa,,2020,0,,,,,,,0
French Guiana,GUF,2020,0.728379,0,0.728379,0,0,0,,2.438642
French Polynesia,PYF,2020,0.828267,0,0.828267,0,0,0,,2.948534
French West Africa,,2020,0,,,,,,,0
Gabon,GAB,2020,4.298177,0,1.763184,0.718305,0.189872,1.626816,,1.931128
Gambia,GMB,2020,0.499912,0,0.49595,0.003962,0,0,,0.20686
Georgia,GEO,2020,9.968094,1.176656,3.22261,4.770495,0.798333,0,,2.498791
Germany,DEU,2020,644.310352,199.077067,250.681445,170.732906,13.28664,2.017377,8.514916,7.690141
Ghana,GHA,2020,16.00133,0,10.802928,3.249054,1.549972,0.399376,,0.51496
Greece,GRC,2020,52.235141,9.459461,27.834004,11.001154,3.360215,0.009042,0.571265,5.011501
Greenland,GRL,2020,0.514413,0,0.514413,0,0,0,,9.061357
Grenada,GRD,2020,0.294834,0,0.294834,0,0,0,,2.620213
Guadeloupe,GLP,2020,2.561883,0.468841,2.093042,0,0,0,,6.402724
Guatemala,GTM,2020,18.937908,5.439685,12.025027,0,1.473197,0,,1.057064
Guinea,GIN,2020,3.394049,0,3.394049,0,0,0,,0.258441
Guinea-Bissau,GNB,2020,0.286774,0,0.286774,0,0,0,,0.145718
Guyana,GUY,2020,2.212691,0,2.051021,0,0.16167,0,,2.813153
Haiti,HTI,2020,2.91951,0,2.841973,0,0.077537,0,,0.256041
Honduras,HND,2020,9.65957,0,8.894167,0,0.765402,0,,0.97526
Hong Kong,HKG,2020,31.238788,12.789088,7.756081,9.930394,0.763225,0,,4.166849
Hungary,HUN,2020,48.275451,7.657422,18.419549,20.497683,1.022863,0.13429,0.543644,4.997277
Iceland,ISL,2020,2.93599,0.685027,2.081028,0.000227,,0.163106,0.006602,8.603812
India,IND,2020,2441.792313,1587.552167,602.669683,126.984149,122.908202,1.678112,,1.769409
Indonesia,IDN,2020,589.500368,300.517866,165.610156,78.477708,33.80371,11.090928,,2.155208
Iraq,IRQ,2020,210.829146,0,131.592511,43.427542,3.492613,32.31648,,5.241573
Ireland,IRL,2020,33.348699,3.344774,16.786844,10.815233,1.892599,0.000276,0.508972,6.753776
Iran,IRN,2020,745.035109,5.113991,221.59178,434.22697,23.877199,60.225168,,8.87021
Israel,ISR,2020,56.350861,15.405597,19.763108,19.406664,1.775491,0,,6.510384
Italy,ITA,2020,303.815294,22.703943,127.437789,139.950502,7.911519,2.756726,3.054815,5.024911
Jamaica,JAM,2020,7.429454,0.529513,6.307408,0.212167,0.380366,0,,2.508962
Japan,JPN,2020,1030.775384,402.978629,377.381559,216.543705,25.376205,0.393235,8.102052,8.149939
Jordan,JOR,2020,25.48743,0.639258,14.518916,8.537545,1.79171,0,,2.498
Kazakhstan,KAZ,2020,291.335929,171.630015,50.159345,48.146429,3.800151,14.621754,2.978235,15.515816
Kenya,KEN,2020,16.146074,1.620871,12.341292,0,2.183911,0,,0.300273
Kiribati,KIR,2020,0.068077,0,0.068077,0,0,0,,0.569923
Kosovo,KSV,2020,7.890151,5.529211,2.027516,0,0.333424,0,,0
Kuwait,KWT,2020,88.935077,0,44.186166,41.447826,1.571676,1.729408,,20.825102
Kuwaiti Oil Fires,,2020,0,,,,0,,,0
Kyrgyzstan,KGZ,2020,11.507817,4.807975,5.278742,0.667759,0.753341,0,,1.763868
Laos,LAO,2020,33.846818,29.173712,3.146657,0,1.526449,0,,4.652126
Latvia,LVA,2020,6.772778,0.093236,3.979376,2.084695,0.561458,0.00001,0.054004,3.590704
Lebanon,LBN,2020,25.969298,0.50608,23.024803,0,2.438415,0,,3.804777
Leeward Islands,,2020,0,,,,,,,0
Lesotho,LSO,2020,2.183421,1.531389,0.652032,0,0,0,,1.019219
Liberia,LBR,2020,1.008984,0,0.887311,0,0.121673,0,,0.199495
Libya,LBY,2020,50.720577,0,22.599643,18.196285,2.402457,7.522192,,7.38152
Liechtenstein,LIE,2020,0.141012,0,0.091154,0.049858,0,0,0,3.698375
Lithuania,LTU,2020,13.79948,0.627217,7.857764,4.465893,0.578055,0.233942,0.036609,5.069073
Luxembourg,LUX,2020,8.174648,0.267772,5.952099,1.481417,0.394793,0.000041,0.078527,13.059003
Macao,MAC,2020,1.262755,0,1.070317,0.192438,,0,,1.94469
North Macedonia,MKD,2020,7.146509,3.379364,2.835452,0.572621,0.359072,0,,3.430257
Madagascar,MDG,2020,3.679618,1.307674,2.29057,0,0.081374,0,,0.132881
Malawi,MWI,2020,1.394983,0.206645,1.09844,0,0.089898,0,,0.072921
Malaysia,MYS,2020,272.607434,102.608155,77.115119,71.953911,12.015737,8.914512,,8.422649
Maldives,MDV,2020,1.796469,0,1.796469,0,0,0,,3.323446
Mali,MLI,2020,3.390011,0,3.134266,0,0.255745,0,,0.167401
Malta,MLT,2020,1.594903,0.000009,0.892717,0.701994,0,0,0.000183,3.612113
Marshall Islands,MHL,2020,0.151282,0,0.151282,0,0,0,,2.555864
Martinique,MTQ,2020,2.348393,0,2.348393,0,0,0,,6.257959
Mauritania,MRT,2020,3.37718,0,3.37718,0,0,0,,0.726329
Mauritius,MUS,2020,3.979358,1.494946,2.484412,0,0,0,,3.128997
Mayotte,MYT,2020,0.305584,0,0.305584,0,0,0,,1.120115
Mexico,MEX,2020,356.968119,16.936447,172.189279,146.978489,20.863904,0,,2.768638
Mongolia,MNG,2020,88.441761,83.609856,4.417422,0,0.414482,0,,26.978016
Montenegro,MNE,2020,2.309894,1.387667,0.922226,0,0,0,,3.677788
Montserrat,MSR,2020,0.025318,0,0.025318,0,0,0,,5.071764
Morocco,MAR,2020,64.536253,24.316171,33.097164,1.546239,5.576679,0,,1.74845
Mozambique,MOZ,2020,6.570936,0.103322,3.702388,1.835243,0.929983,0,,0.210233
Myanmar,MMR,2020,36.325546,4.826533,19.806542,10.104964,1.587507,0,,0.667629
Namibia,NAM,2020,3.877243,0.020734,3.450915,0,0.405593,0,,1.52593
Nauru,NRU,2020,0.056731,0,0.056731,0,0,0,,5.241186
Nepal,NPL,2020,16.957668,6.235166,7.287991,0,3.434511,0,,0.582002
Netherlands,NLD,2020,138.100074,16.722596,48.409391,70.745161,0.006337,1.049261,1.167328,8.059592
New Caledonia,NCL,2020,8.692686,5.770389,2.889478,0,0.032819,0,,30.447448
New Zealand,NZL,2020,33.475158,5.713609,17.727127,7.846811,0.41094,1.020864,0.755808,6.941838
Nicaragua,NIC,2020,5.07365,0,4.720858,0,0.352792,0,,0.765886
Niger,NER,2020,1.690423,0.340994,1.32928,0,0.02015,0,,0.069833
Nigeria,NGA,2020,125.462961,0.106365,62.715685,39.155061,8.137354,15.348496,,0.608631
Niue,NIU,2020,0.011346,0,0.011346,0,0,0,,6.977933
Norway,NOR,2020,41.283,4.082839,21.111883,13.306743,0.721714,1.676184,0.383637,7.67417
Occupied Palestinian Territory,PSE,2020,2.898754,0,2.898754,0,0,0,,0.568226
Oman,OMN,2020,62.16257,0,3.844477,53.163085,2.095568,3.05944,,12.172924
Pacific Islands (Palau),,2020,0,,,,,,,0
Pakistan,PAK,2020,234.75474,58.769995,88.688382,71.688418,15.607945,0,,1.062756
Palau,PLW,2020,0.219358,0,0.219358,0,0,0,,12.123262
Panama,PAN,2020,10.779522,0.685892,8.659002,0.659261,0.775367,0,,2.498286
Papua New Guinea,PNG,2020,6.652121,0,5.642803,1.009318,0,0,,0.743501
Paraguay,PRY,2020,7.569706,0.007299,7.154272,0,0.408135,0,,1.061292
Peru,PER,2020,44.706055,1.238699,25.812425,13.132972,4.320439,0.20152,,1.355885
Philippines,PHL,2020,136.01795,68.993835,49.172455,7.899579,9.952082,0,,1.241254
Bolivia,BOL,2020,20.700023,0.014597,11.402121,7.690158,1.439258,0.153888,,1.773322
Poland,POL,2020,299.592767,160.834185,85.228164,36.626494,7.692452,4.344176,4.867296,7.915973
Portugal,PRT,2020,40.387817,2.33361,21.924386,11.864949,2.225102,1.133223,0.906547,3.960868
Puerto Rico,PRI,2020,0,,,,,,,0
Qatar,QAT,2020,106.654967,0,13.03216,90.163522,2.305124,1.15416,,37.019439
Cameroon,CMR,2020,6.889318,0,4.550456,1.215132,1.12373,0,,0.259525
South Korea,KOR,2020,597.605055,282.883413,166.71656,114.830613,22.871408,0,10.30306,11.656223
Moldova,MDA,2020,5.146876,0.366156,2.248639,1.953673,0.578408,0,,1.275886
South Sudan,SSD,2020,1.179207,0,1.179207,0,0,0,,0.105345
Sudan,SDN,2020,18.859244,0,17.303655,0,1.555589,0,,0.430093
Réunion,REU,2020,4.587948,2.1056,2.482348,0,0,0,,5.124412
Romania,ROU,2020,71.475046,12.94265,30.374912,22.561796,3.828019,0.591792,1.175876,3.715365
Russia,RUS,2020,1577.136041,356.945515,388.774194,747.590858,20.306193,46.762006,16.757274,10.807153
Rwanda,RWA,2020,1.032737,0.006458,0.839983,0.040874,0.145422,0,,0.079734
Ryukyu Islands,,2020,0,,,,,,,0
Saint Helena,SHN,2020,0.009494,0,0.009494,0,0,0,,1.56234
Saint Lucia,LCA,2020,0.439905,0,0.439905,0,0,0,,2.395642
Sint Maarten (Dutch part),SXM,2020,0.623462,0,0.623462,0,0,0,,14.541044
Samoa,WSM,2020,0.245833,0,0.245833,0,0,0,,1.238988
Sao Tome and Principe,STP,2020,0.112744,0,0.112744,0,0,0,,0.514437
Saudi Arabia,SAU,2020,625.507882,0,342.599451,257.220261,25.592905,0.095264,,17.967203
Senegal,SEN,2020,10.451209,1.930213,6.400111,0.023774,2.097112,0,,0.624179
Serbia,SRB,2020,43.135397,28.897818,8.452012,4.975958,0.809608,0,,4.936885
Seychelles,SYC,2020,0.491067,0,0.491067,0,0,0,,4.993209
Sierra Leone,SLE,2020,0.87719,0,0.87719,0,0,0,,0.109965
Singapore,SGP,2020,45.503904,2.051451,22.345247,21.107206,0,0,,7.77799
Slovakia,SVK,2020,30.730385,8.636338,9.962153,9.815822,1.404269,0.0191,0.892703,5.628645
Slovenia,SVN,2020,12.562986,4.49427,5.646537,1.714088,0.477618,0.1246,0.105873,6.042983
Solomon Islands,SLB,2020,0.298781,0,0.298781,0,0,0,,0.43498
Somalia,SOM,2020,0.562143,0,0.562143,0,,0,,0.03537
South Africa,ZAF,2020,451.957087,394.045517,43.526399,8.375703,6.009467,0,,7.620419
Spain,ESP,2020,208.914968,10.943267,118.200733,64.131411,9.064168,3.632959,2.942428,4.468313
Sri Lanka,LKA,2020,21.106254,6.677945,13.343767,0,1.084542,0,,0.985663
Saint Kitts and Nevis,KNA,2020,0.21204,0,0.21204,0,0,0,,3.985795
St. Kitts-Nevis-Anguilla,KNA,2020,0,,,,,,,0
Saint Pierre and Miquelon,SPM,2020,0.050636,0,0.050636,0,0,0,,8.739471
Saint Vincent and the Grenadines,VCT,2020,0.208876,0,0.208876,0,0,0,,1.882779
Suriname,SUR,2020,2.224178,0,2.203308,0.00904,0.01183,0,,3.791437
Swaziland,SWZ,2020,0.955776,0.130331,0.825445,0,0,0,,0.823828
Sweden,SWE,2020,38.634794,7.367068,27.016314,1.840388,1.349386,0.536183,0.525455,3.825505
